Unnamed: 0,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,area_sqmiles,NatWalkInd,host_response_time_ord,safety_amenities_count,convenience_amenities_count,room_type_Hotel room,room_type_Private room,room_type_Shared room,is_unique_stay,population_per_sqmile,crime_per_1000,host_years,price_per_person,log_dist_km_downtown,log_dist_km_airport,source_city_OAK,source_city_SD,source_city_SF,listing_age_years,reviews_per_year,stratify_col
44,1.0,0.88,1.0,1.0,1.0,1.0,37.85094,-122.26846,1,1.0,1.0,2.0,1,14,178,4.96,0.0,0.2283488064,14.833333336666668,0.0,3,3,0,1,0,0,16737.551906905872,68.02721088435375,12.66,69.0,1.8220966887138363,2.7726568680542676,1,0,0,12.47945205479452,14.26344676180022,OAK_Private room
45,-1.0,1.0,0.0,3.0,1.0,1.0,37.83044,-122.25424,2,1.5,1.0,1.0,2,30,210,4.92,0.0,0.2197993941,17.416666665,-1.0,4,5,0,1,0,0,14353.997711952748,174.6434231378764,12.64,40.0,1.4487638629400412,2.600932582379647,1,0,0,12.336986301369864,17.021985343104596,OAK_Private room
46,1.0,0.0,0.0,1.0,1.0,1.0,37.84064,-122.22655,6,2.0,3.0,3.0,30,40,29,4.9,0.0,1.0533676725,14.666666666666666,2.0,3,7,0,0,0,0,3402.4207250389104,88.44866071428571,15.27,76.0,1.8904895270814783,2.6581271016526062,1,0,0,12.495890410958904,2.320762990572243,OAK_Entire home/apt
47,1.0,0.5,0.0,1.0,1.0,1.0,37.82897,-122.18938,8,4.0,4.0,4.0,3,8,28,4.79,0.0,1.8833618232,7.91666666575,2.0,3,5,0,0,0,0,2531.1121534259632,62.30333543108873,12.54,50.625,2.161666906470691,2.586076480908069,1,0,0,12.106849315068493,2.3127404390133517,OAK_Entire home/apt
48,1.0,1.0,0.0,1.0,1.0,0.0,37.80936,-122.25835,2,1.0,1.0,2.0,30,365,5,4.6,0.0,0.0671605506,14.25,2.0,4,8,0,0,0,0,42807.86822495169,125.56521739130436,12.56,50.0,0.8125586143623622,2.4268247923109443,1,0,0,12.145205479452056,0.4116850891044439,OAK_Entire home/apt
49,1.0,0.95,1.0,2.0,1.0,1.0,37.76864,-122.13648,2,1.0,1.0,2.0,2,120,441,4.98,0.0,1.6661060559,11.9166666675,0.0,4,5,0,0,0,0,2343.1881699098262,80.68647540983606,12.38,53.0,2.6013820489159523,2.311448272188782,1,0,0,11.131506849315068,39.6172778734925,OAK_Entire home/apt
50,1.0,0.86,1.0,1.0,1.0,1.0,37.839237213134766,-122.27417755126952,2,1.0,1.0,1.0,5,90,58,4.78,0.0,0.3340309401,16.0,1.0,3,6,0,0,0,0,13184.407404540309,108.31062670299728,12.37,45.5,1.586648450104158,2.702535554640289,1,0,0,12.32054794520548,4.707582832999778,OAK_Entire home/apt
51,1.0,0.0,0.0,1.0,1.0,1.0,37.79345,-122.18118,4,1.0,2.0,2.0,3,365,46,4.96,0.0,0.4243617377999999,14.555555556666668,0.0,4,6,0,0,0,0,7307.444860784054,127.70074169622704,12.64,20.25,2.196855535879265,2.2760426052591844,1,0,0,12.32876712328767,3.7311111111111113,OAK_Entire home/apt
52,1.0,0.91,0.0,1.0,1.0,1.0,37.84274,-122.25274,2,1.0,1.0,1.0,3,30,452,4.89,0.0,0.4288957101,15.7916666675,0.0,3,5,0,0,0,0,13352.896438774616,176.00838135149294,13.18,58.0,1.7162143573197517,2.6934002409347704,1,0,0,12.273972602739724,36.82589285714286,OAK_Entire home/apt
53,1.0,0.92,1.0,2.0,1.0,0.0,37.79135,-122.18273,6,2.5,3.0,4.0,2,30,26,4.85,0.0,0.4243617377999999,14.555555556666668,0.0,4,9,0,0,0,0,7307.444860784054,127.70074169622704,12.3,53.666666666666664,2.186231497306912,2.248093240325993,1,0,0,4.2246575342465755,6.154345006485084,OAK_Entire home/apt
54,1.0,0.53,1.0,2.0,1.0,1.0,37.84167,-122.28449,2,1.0,1.0,1.0,2,7,428,4.94,0.0,0.2797804152,16.166666666666668,0.0,2,5,0,0,0,0,16380.703405289676,62.62273619899629,14.59,31.0,1.6698204666368932,2.740680998258854,1,0,0,12.156164383561643,35.20847419427541,OAK_Entire home/apt
