CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Location
OTHER,2023 Jan 01 12:09:00 AM,23-000015,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,87TH AV & BIRCH ST,Oakland,CA,POINT (-122.17083 37.75402)
BURG - COMMERCIAL,2023 Jan 01 12:19:00 AM,23-000056,BURGLARY-FORCIBLE ENTRY,02X,800 MARKET ST,Oakland,CA,POINT (-122.28214 37.80334)
FORGERY & COUNTERFEITING,2023 Jan 01 12:20:00 AM,23-908625,THEFT BY USE OF ACCESS CARD,21Y,3200 PRENTISS ST,Oakland,CA,POINT (-122.21975 37.78894)
VANDALISM,2023 Jan 01 12:22:00 AM,23-000002,VANDALISM (AMENDED),32X,9800 D ST,Oakland,CA,POINT (-122.17568 37.74193)
FELONY ASSAULT,2023 Jan 01 12:30:00 AM,23-000868,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,1200 61ST AV,Oakland,CA,POINT (-122.20146 37.7619)
ROBBERY,2023 Jan 01 12:37:00 AM,23-000003,CARJACKING - STRONGARM,07X,800 ISABELLA ST,Oakland,CA,POINT (-122.27518 37.81481)
BURG - AUTO,2023 Jan 01 12:40:00 AM,23-900585,BURGLARY-AUTO,32Y,10300 SUNNYSIDE ST,Oakland,CA,POINT (-122.15988 37.74265)
FELONY ASSAULT,2023 Jan 01 12:41:00 AM,23-000006,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,21Y,3400 SALISBURY ST,Oakland,CA,POINT (-122.21736 37.78642)
FELONY ASSAULT,2023 Jan 01 12:42:00 AM,23-000005,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,1800 38TH AV,Oakland,CA,POINT (-122.21795 37.77738)
STOLEN VEHICLE,2023 Jan 01 01:00:00 AM,23-000267,VEHICLE THEFT - AUTO,20X,3000 GLASCOCK ST,Oakland,CA,POINT (-122.23196 37.77127)
FELONY ASSAULT,2023 Jan 01 01:00:00 AM,23-000008,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,1900 HARRINGTON AV,Oakland,CA,POINT (-122.21752 37.77998)
STOLEN VEHICLE,2023 Jan 01 01:00:00 AM,23-000097,VEHICLE THEFT - AUTO,10X,1000 54TH ST,Oakland,CA,POINT (-122.27794 37.83832)
GRAND THEFT,2023 Jan 01 01:00:00 AM,23-901028,GRAND THEFT,08X,100 FRISBIE ST,Oakland,CA,POINT (-122.25964 37.81911)
MISDEMEANOR ASSAULT,2023 Jan 01 01:00:00 AM,23-909644,ASSAULT,31Z,600 LA PRENDA DR,Oakland,CA,POINT (-122.17576 37.72982)
MISDEMEANOR ASSAULT,2023 Jan 01 01:02:00 AM,23-000009,BATTERY,35X,2200 86TH AV,Oakland,CA,POINT (-122.16791 37.75701)
MISDEMEANOR ASSAULT,2023 Jan 01 01:13:00 AM,23-000011,BATTERY,77X,600 WIILLIAMS ST,Oakland,CA,POINT (-122.27243 37.80939)
MISDEMEANOR ASSAULT,2023 Jan 01 01:20:00 AM,23-000012,BATTERY,77X,TELEGRAPH AV,Oakland,CA,
VANDALISM,2023 Jan 01 01:22:00 AM,23-908601,VANDALISM,77X,A ST E B ST,Oakland,CA,
